s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.7072468E-001, 3.8551819E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7072430E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2649111E+000, 6.6330764E+001,-2.5782492E+001, 6.9958593E-002,-9.5902298E-001,-4.9782966E-003, 0.0000000E+000, 0.0000000E+000, 3.6415427E+001, 3.9654229E+001, 0.0000000E+000, 1.8366629E-003, 0.0000000E+000
 2.4060266E+000, 1.4241391E+002,-4.9378888E+001, 5.5855553E-001,-1.4090488E+000,-9.4157468E-003, 0.0000000E+000, 0.0000000E+000, 9.0930108E+001, 9.2175112E+001, 0.0000000E+000, 3.2137737E-003, 0.0000000E+000
 3.6054230E+000, 1.4902594E+002,-4.6415337E+001, 1.6279668E+000,-1.5842767E+000,-9.9562015E-003, 0.0000000E+000, 0.0000000E+000, 1.0273474E+002, 1.0264433E+002, 0.0000000E+000, 3.3873231E-003, 0.0000000E+000
 4.8003721E+000, 1.5022445E+002,-4.7674175E+001, 1.7198152E+000,-3.2377306E+000,-9.9946612E-003, 0.0000000E+000, 0.0000000E+000, 1.0099140E+002, 1.0102236E+002, 0.0000000E+000, 3.4058987E-003, 0.0000000E+000
 6.0108504E+000, 1.5010695E+002,-4.7668301E+001, 1.9024399E+000,-5.9251532E+000,-1.0103966E-002, 0.0000000E+000, 0.0000000E+000, 9.8151930E+001, 9.8405833E+001, 0.0000000E+000, 3.4076108E-003, 0.0000000E+000
 7.2104101E+000, 1.5066625E+002,-4.8454991E+001, 1.4454984E+000,-7.7557305E+000,-1.0093633E-002, 0.0000000E+000, 0.0000000E+000, 9.6033204E+001, 9.5890931E+001, 0.0000000E+000, 3.4077665E-003, 0.0000000E+000
 8.4131460E+000, 1.4953275E+002,-4.8218070E+001, 1.6905697E+000,-9.0597954E+000,-1.0112222E-002, 0.0000000E+000, 0.0000000E+000, 9.3803044E+001, 9.3935340E+001, 0.0000000E+000, 3.4077804E-003, 0.0000000E+000
 9.6079540E+000, 1.4998968E+002,-4.8531672E+001, 1.5149103E+000,-9.8060345E+000,-1.0110853E-002, 0.0000000E+000, 0.0000000E+000, 9.3216117E+001, 9.3156770E+001, 0.0000000E+000, 3.4077816E-003, 0.0000000E+000
 1.0812225E+001, 1.4994399E+002,-4.8484591E+001, 1.4291652E+000,-1.0869900E+001,-1.0093918E-002, 0.0000000E+000, 0.0000000E+000, 9.2099818E+001, 9.2008569E+001, 0.0000000E+000, 3.4077817E-003, 0.0000000E+000
