,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-10T09:10:06.735+02:00,   0.791E-01,   0.07906,   0.962E+01
      2,2022-10-10T09:10:07.328+02:00,   0.791E-01,   0.15811,   0.102E+02
      3,2022-10-10T09:10:08.178+02:00,   0.791E-01,   0.23717,   0.111E+02
      4,2022-10-10T09:10:08.771+02:00,   0.791E-01,   0.31623,   0.116E+02
      5,2022-10-10T09:10:09.343+02:00,   0.791E-01,   0.39528,   0.122E+02
      6,2022-10-10T09:10:10.211+02:00,   0.791E-01,   0.47434,   0.131E+02
      7,2022-10-10T09:10:10.785+02:00,   0.791E-01,   0.55340,   0.137E+02
      8,2022-10-10T09:10:11.372+02:00,   0.791E-01,   0.63246,   0.142E+02
      9,2022-10-10T09:10:12.229+02:00,   0.791E-01,   0.71151,   0.151E+02
     10,2022-10-10T09:10:12.821+02:00,   0.791E-01,   0.79057,   0.157E+02
     20,2022-10-10T09:10:19.696+02:00,   0.683E-01,   1.54898,   0.225E+02
     30,2022-10-10T09:10:30.474+02:00,   0.299E-01,   1.99226,   0.302E+02
     40,2022-10-10T09:10:44.715+02:00,   0.264E-01,   2.27392,   0.371E+02
     50,2022-10-10T09:10:52.171+02:00,   0.233E-01,   2.53183,   0.440E+02
     60,2022-10-10T09:10:59.119+02:00,   0.233E-01,   2.76453,   0.509E+02
     70,2022-10-10T09:11:06.022+02:00,   0.205E-01,   2.97220,   0.577E+02
     80,2022-10-10T09:11:12.909+02:00,   0.179E-01,   3.16129,   0.645E+02
     90,2022-10-10T09:11:20.091+02:00,   0.160E-01,   3.33261,   0.717E+02
    100,2022-10-10T09:11:27.024+02:00,   0.160E-01,   3.49309,   0.783E+02
    200,2022-10-10T09:12:32.903+02:00,   0.155E-01,   5.01764,   0.144E+03
    300,2022-10-10T09:13:54.356+02:00,   0.171E-01,   6.59126,   0.213E+03
    400,2022-10-10T09:15:13.367+02:00,   0.152E-01,   8.15433,   0.285E+03
